LGA_CODE_2016,P_Oth_scs_15_19,P_Oth_scs_20_24,P_Oth_scs_25_34,P_Oth_scs_35_44,P_Oth_scs_45_54,P_Oth_scs_55_64,P_Oth_scs_65_74,P_Oth_scs_75_84,P_Oth_scs_85ov,P_Oth_scs_Tot,P_ID_NS_15_19,P_ID_NS_20_24,P_ID_NS_25_34,P_ID_NS_35_44,P_ID_NS_45_54,P_ID_NS_55_64,P_ID_NS_65_74,P_ID_NS_75_84,P_ID_NS_85ov,P_ID_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
LGA20110,9,18,25,22,46,22,12,0,0,156,17,15,24,35,42,46,17,7,7,208,335,321,702,1046,1393,1280,349,53,12,5488
LGA20260,15,21,40,26,30,29,5,3,0,167,15,14,25,26,40,32,16,7,4,175,296,332,771,833,1102,985,302,67,9,4708
LGA20570,61,182,319,293,331,265,78,6,0,1543,103,173,264,276,329,221,84,21,4,1472,2704,4832,9546,9310,9541,7025,1555,169,30,44716
LGA20660,70,161,434,430,416,334,86,13,0,1949,75,196,472,507,476,328,133,30,11,2231,2436,5032,12618,13855,12793,9446,2440,265,32,58915
LGA20740,13,44,90,97,102,80,25,3,4,459,30,31,86,94,117,120,39,12,3,539,669,729,2060,2404,2996,2731,803,125,30,12537
LGA20830,55,101,198,173,235,171,44,9,0,991,52,68,137,157,208,161,71,19,6,878,1244,1770,3979,4032,4902,4006,1102,190,36,21255
LGA20910,55,98,207,237,354,197,73,12,0,1226,67,122,261,433,648,392,183,34,13,2160,2005,3516,6316,9802,12680,8392,2876,348,50,45993
LGA21010,13,30,34,40,42,40,16,5,0,207,11,20,34,37,53,52,26,13,3,247,317,434,835,931,1340,1322,399,65,16,5659
LGA21110,83,238,481,338,422,333,129,19,0,2036,108,309,622,615,806,487,208,64,18,3231,3410,8629,17640,16203,18912,12535,4277,570,82,82260
LGA21180,74,409,894,698,704,437,93,7,4,3319,155,676,1542,1277,1192,766,147,27,3,5788,3245,9019,20802,17712,16406,10836,1861,131,21,80034
LGA21270,3,14,16,13,13,10,8,3,0,81,9,4,8,10,16,21,10,5,3,93,121,134,329,397,614,622,204,41,17,2486
LGA21370,34,79,126,97,139,125,32,10,0,642,56,59,73,102,164,130,48,20,6,664,1051,1222,2561,2944,3843,3294,831,165,33,15950
LGA21450,99,172,533,393,398,258,62,7,0,1924,133,225,490,516,531,355,94,18,9,2379,2518,4325,10472,10238,9825,5997,1369,183,36,44955
LGA21610,210,639,1407,1285,1267,702,158,15,4,5674,313,853,1931,1877,1858,1096,264,37,19,8241,7052,13739,32206,33685,29862,17928,3119,279,49,137913
LGA21670,6,24,21,28,31,34,11,0,0,161,16,20,25,44,47,53,15,14,3,219,268,373,631,776,1072,938,234,43,11,4352
LGA21750,17,24,61,57,54,46,17,0,0,285,19,34,81,66,81,82,44,8,6,423,583,781,1648,1740,2133,1923,601,108,22,9545
LGA21830,14,27,31,31,41,36,16,0,0,198,32,22,34,52,64,50,33,14,3,312,458,533,970,1267,1748,1517,545,111,19,7164
LGA21890,58,236,650,571,471,270,74,9,0,2339,102,352,918,705,612,353,83,29,6,3155,2195,6700,20842,17357,13998,7636,1398,153,38,70311
LGA22110,19,68,113,118,140,134,36,3,0,645,40,47,93,116,152,192,69,21,0,739,935,1171,2649,3034,4031,3798,1161,203,24,17003
LGA22170,104,289,586,514,589,362,90,0,0,2543,145,296,706,746,791,565,138,21,11,3418,3338,5925,13858,13976,14089,9875,2142,162,30,63406
LGA22250,10,13,24,20,34,40,10,3,0,153,12,17,19,23,32,54,24,7,3,199,241,318,616,738,1067,998,350,69,7,4404
LGA22310,64,203,531,450,559,341,122,21,0,2287,82,228,698,632,670,422,169,33,23,2951,2291,5602,16932,16251,15225,9957,2975,342,66,69634
LGA22410,14,28,49,59,68,48,19,0,0,287,26,35,43,48,88,88,35,21,3,377,532,574,1107,1550,2145,1780,501,109,14,8311
LGA22490,16,32,71,100,73,84,17,0,0,402,39,31,54,108,108,82,28,4,0,458,574,707,1646,2437,2574,1764,423,51,14,10196
LGA22620,90,223,432,324,371,300,80,11,3,1831,104,192,289,352,356,304,94,28,3,1726,2968,5134,10093,9775,10494,8205,1745,218,41,48675
LGA22670,61,299,810,650,476,319,92,4,0,2715,102,581,1458,1152,1013,615,138,26,6,5088,2058,6647,17785,13487,11157,7441,1592,114,17,60306
LGA22750,138,460,862,742,747,569,153,26,3,3697,228,439,779,796,834,652,202,49,22,4000,5922,10501,21865,22128,22460,16664,3581,392,70,103580
LGA22830,65,110,244,231,275,171,53,6,0,1156,86,119,233,243,250,182,69,17,11,1202,1740,2253,5267,5426,6138,4703,1234,172,39,26976
LGA22910,12,22,36,47,44,50,5,0,0,216,18,22,30,54,72,62,20,8,3,288,233,377,767,1266,1636,1550,448,58,13,6346
LGA22980,0,15,5,12,17,14,4,0,0,73,7,12,9,8,20,9,7,4,3,84,95,187,331,401,545,539,148,42,6,2298
LGA23110,52,135,346,343,295,225,50,3,0,1445,61,211,496,412,445,286,78,6,3,2004,1548,3428,9862,10308,9606,6000,1103,98,17,41978
LGA23190,25,47,98,70,75,66,19,4,0,405,33,25,72,48,66,52,17,11,0,337,587,805,1740,1686,1974,1749,458,96,19,9111
LGA23270,110,351,841,695,675,411,74,9,0,3175,197,548,1149,1000,1043,526,121,17,4,4601,4054,8837,20501,18154,17326,10173,1838,119,27,81025
LGA23350,14,26,42,48,70,40,11,0,0,262,22,18,33,54,59,53,28,11,0,288,412,435,931,1495,1956,1682,491,76,18,7492
LGA23430,86,243,606,628,606,452,122,18,0,2752,107,261,696,800,836,552,186,35,18,3495,3212,6173,15465,17971,17121,11114,2712,280,49,74103
LGA23670,106,320,675,699,745,535,126,10,0,3224,127,332,741,814,964,686,158,37,10,3866,3952,7416,16073,16353,17597,12981,2730,210,31,77348
LGA23810,62,159,243,213,221,153,47,8,0,1095,69,109,219,192,227,207,66,24,5,1114,1766,2921,6062,5755,6525,5187,1112,142,25,29490
LGA23940,3,5,15,16,12,14,0,0,0,61,11,7,17,23,26,31,6,3,3,131,112,137,335,486,699,738,244,65,8,2838
LGA24130,33,83,120,170,200,143,57,3,0,804,41,62,123,194,230,149,70,14,10,895,1100,1573,3061,4956,5756,4007,1146,117,27,21741
LGA24210,55,151,353,361,510,362,121,17,0,1925,60,202,503,478,574,432,182,37,11,2479,2344,4748,9798,10736,12896,8991,2818,446,42,52818
LGA24250,16,12,20,23,36,32,22,0,0,153,6,13,18,43,39,41,17,9,0,175,213,226,513,713,863,889,313,43,12,3781
LGA24330,23,156,468,317,242,141,19,6,4,1374,51,225,648,436,357,202,56,6,0,1975,1025,4154,14220,10653,7057,3836,626,60,13,41648
LGA24410,67,223,479,483,505,355,102,13,0,2234,89,210,508,503,558,354,141,25,6,2397,2816,4982,12074,12395,12150,8328,1983,189,23,54940
LGA24600,30,263,696,263,212,120,36,3,3,1627,79,466,1127,431,322,189,73,16,3,2712,1662,9441,29861,11437,6600,4336,1534,234,49,65156
LGA24650,75,241,589,581,422,232,56,4,0,2198,140,336,710,799,626,332,67,9,5,3028,3136,5439,14594,16727,12160,6828,1080,62,11,60028
LGA24780,47,98,187,142,174,124,32,3,0,811,56,89,201,193,198,205,61,10,6,1019,1416,1995,4405,4382,5013,4141,994,123,29,22501
LGA24850,40,93,174,152,153,104,28,4,0,742,49,87,165,173,209,158,43,18,0,896,1069,1659,3774,3777,4323,3043,664,87,15,18406
LGA24900,37,45,94,70,60,80,21,3,0,416,47,64,81,100,123,89,50,20,3,567,785,956,1953,2173,2742,2404,653,121,22,11806
LGA24970,57,270,560,515,654,384,137,18,0,2599,108,392,1041,841,863,496,160,60,20,3968,3184,8134,19318,17837,17552,10980,2891,410,67,80373
LGA25060,38,157,474,369,376,278,77,14,0,1779,63,198,513,511,544,308,119,23,7,2283,2268,5536,14358,13068,12494,7980,1825,207,21,57761
LGA25150,24,71,106,95,134,77,21,0,0,538,42,90,112,128,164,97,60,9,4,694,898,1235,2592,3192,3608,2436,578,74,13,14632
LGA25250,53,268,893,637,541,310,73,6,0,2784,74,341,1149,781,547,359,116,24,10,3396,2125,8199,26870,19552,14080,7784,1535,172,36,80352
LGA25340,94,243,482,522,650,441,146,10,0,2595,150,276,441,611,795,601,268,55,19,3219,4122,5612,10293,13831,16460,12675,3974,469,66,67498
LGA25430,9,33,37,44,66,46,11,3,0,246,24,14,42,59,76,73,28,11,0,334,389,466,912,1392,1992,1834,477,76,20,7558
LGA25490,6,32,36,51,53,28,10,0,0,216,23,19,41,53,67,69,28,18,0,311,400,516,1199,1529,1852,1612,479,127,15,7730
LGA25620,22,18,44,43,53,48,7,0,0,235,12,21,34,59,96,58,27,10,3,319,291,364,801,1163,1473,1341,416,84,24,5954
LGA25710,44,141,199,232,341,243,52,10,0,1252,71,99,183,221,351,248,92,15,0,1275,1981,3042,4512,6708,8454,6240,1490,132,11,32575
LGA25810,5,14,20,27,36,22,5,6,0,133,11,13,26,31,46,36,14,8,0,177,294,357,760,827,1180,1057,329,59,12,4859
LGA25900,42,151,620,375,296,172,49,8,0,1705,42,159,789,571,414,259,96,19,6,2350,826,4304,20579,14031,9806,5996,1912,211,39,57705
LGA25990,7,5,18,13,26,21,3,0,0,92,8,9,13,20,22,32,16,8,0,126,124,166,337,486,631,662,223,29,13,2664
LGA26080,0,3,0,3,4,10,4,0,0,31,0,0,5,3,3,14,3,3,0,36,55,43,99,164,254,303,113,17,0,1046
LGA26170,31,53,89,64,88,93,21,5,0,436,34,42,61,85,135,115,47,27,9,549,668,795,1799,2274,2949,2634,878,165,25,12184
LGA26260,13,28,35,49,54,54,14,0,0,247,20,11,27,44,37,48,35,11,6,229,418,510,1110,1304,1685,1593,520,86,25,7250
LGA26350,33,176,490,266,238,158,52,6,3,1431,53,219,725,425,439,250,164,52,18,2345,1279,5784,19742,11098,9138,6245,2712,448,84,56530
LGA26430,7,9,23,17,23,32,12,0,0,123,15,10,18,24,50,44,27,8,0,203,201,251,635,741,965,1094,380,89,19,4369
LGA26490,23,39,75,109,110,68,19,0,0,460,34,35,83,119,121,89,42,11,0,529,690,886,2318,3339,3489,2544,736,75,10,14079
LGA26610,18,45,84,54,48,45,15,0,0,315,27,51,73,72,89,73,21,14,3,425,509,797,1658,1575,1851,1659,422,81,16,8568
LGA26670,0,8,18,12,34,21,4,0,0,99,7,9,12,12,24,24,12,4,3,110,130,138,329,411,667,651,290,58,14,2673
LGA26700,24,55,88,85,100,59,22,3,0,434,41,37,78,92,112,91,36,10,3,507,785,914,1991,2510,3015,2573,677,138,24,12616
LGA26730,23,76,118,119,110,89,29,3,0,563,38,57,100,84,139,89,26,13,3,545,1198,1598,3082,3015,3502,2597,530,64,15,15601
LGA26810,39,86,138,118,119,119,32,3,0,651,49,70,144,110,157,133,59,18,5,747,1000,1427,3257,3406,4011,3663,983,161,39,17944
LGA26890,4,5,13,0,5,11,5,0,0,42,4,5,7,4,19,16,7,3,0,61,72,122,277,280,460,408,182,57,8,1860
LGA26980,66,277,585,582,628,438,137,19,0,2731,97,275,734,652,701,413,161,41,9,3083,3368,7158,16705,16921,16640,10699,2836,336,36,74705
LGA27070,95,389,988,903,694,386,84,6,0,3545,192,467,1331,1094,1054,612,138,28,5,4924,3862,8517,24259,21625,17583,10739,1794,148,31,88550
LGA27170,48,112,172,130,113,97,24,0,0,702,50,69,126,155,153,90,32,7,0,674,1260,1947,4050,3674,3864,2779,562,52,14,18199
LGA27260,112,312,909,812,571,342,73,0,0,3144,149,495,1496,1298,868,501,113,13,5,4942,3951,8325,28383,27199,18724,10003,1694,96,30,98411
LGA27350,16,125,569,271,206,161,38,9,0,1402,27,173,792,399,267,169,66,5,3,1897,841,4637,21503,10764,6999,4440,1445,115,28,50781
LGA27450,156,355,730,705,810,556,137,16,3,3469,190,372,692,761,932,672,204,40,9,3869,4195,6734,14041,15617,17343,12909,3195,334,39,74415
LGA27630,3,3,25,13,20,18,11,0,0,95,3,3,16,9,25,21,12,3,0,104,97,188,387,394,648,653,192,58,5,2626
LGA29399,0,0,0,0,0,0,0,0,0,3,0,8,7,0,7,0,0,0,0,24,22,76,140,80,50,40,19,3,0,440
LGA29499,0,6,30,16,16,6,3,0,0,89,4,16,46,24,38,12,0,0,0,148,64,289,726,386,300,215,42,7,0,2033
LGA29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,3,8,3,0,0,0,23
