SA4_CODE_2016,P_OthServ_0,P_OthServ_1_15,P_OthServ_16_24,P_OthServ_25_34,P_OthServ_35_39,P_OthServ_40,P_OthServ_41_48,P_OthServ_49over,P_OthServ_hours_NS,P_OthServ_Tot,P_ID_NS_0,P_ID_NS_1_15,P_ID_NS_16_24,P_ID_NS_25_34,P_ID_NS_35_39,P_ID_NS_40,P_ID_NS_41_48,P_ID_NS_49over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_15,P_Tot_16_24,P_Tot_25_34,P_Tot_35_39,P_Tot_40,P_Tot_41_48,P_Tot_49over,P_Tot_hours_NS,P_Tot_Tot
201,86,359,242,279,448,367,229,284,33,2334,133,290,179,195,362,382,147,296,577,2573,2833,9252,7485,8545,11825,11081,6047,8989,1333,67396
202,85,341,214,309,451,402,243,341,20,2412,116,301,168,216,373,375,154,296,500,2492,2880,9136,7313,8624,11684,10869,5919,8811,1215,66444
203,120,678,467,532,858,820,359,546,54,4438,192,558,360,397,669,810,293,544,1011,4836,5010,17417,14239,15071,21318,22526,10910,16292,2244,125026
204,87,344,231,303,491,550,263,402,38,2709,192,325,216,230,432,502,177,367,671,3120,3334,9075,7861,9531,12699,12826,6988,11610,1615,75545
205,135,602,430,490,770,816,366,615,47,4271,249,498,357,335,571,679,254,578,1070,4577,5299,15207,12321,13746,17808,17150,9562,17008,2391,110486
206,215,1091,978,1122,1826,1605,913,1193,95,9041,342,1213,1145,894,1609,2346,886,1815,2293,12543,9349,31796,31148,30749,53337,69270,35350,54383,4780,320165
207,121,840,637,580,926,839,468,678,47,5134,209,888,691,547,878,1225,359,905,1290,7002,4671,23868,18991,17860,25766,32858,15393,26595,2608,168603
208,156,1027,721,744,1027,1015,580,877,61,6211,215,1020,708,722,1068,1665,573,1273,1444,8688,5780,25007,21037,21285,30081,39789,19692,32526,3002,198179
209,194,1152,987,992,1764,1620,750,1049,100,8613,342,1146,829,884,2119,1940,624,1061,2128,11072,7521,27775,25133,26101,46024,45992,20596,27917,4551,231609
210,144,736,610,669,1345,1134,561,750,83,6033,243,751,619,623,1444,1420,438,723,1836,8097,4970,17458,16482,17200,32896,31374,13588,18625,3811,156400
211,263,1272,1075,1163,2086,2027,992,1499,95,10476,372,1163,887,944,2166,2251,801,1374,1944,11906,8168,31677,25985,27853,46454,48873,23180,31504,4043,247729
212,266,1664,1471,1388,3083,2680,1212,1548,170,13476,513,1731,1579,1551,4519,3803,1203,1642,3888,20428,9495,38992,34162,36674,76013,67845,28551,36490,7479,335693
213,281,1437,1258,1196,2736,2296,1012,1251,148,11612,471,1544,1428,1383,3575,3307,933,1413,3847,17907,9880,33955,32721,34587,73067,69292,28121,37094,7486,326215
214,140,691,540,626,965,986,472,658,60,5134,225,648,495,521,1113,1250,448,784,1136,6633,4683,16885,13804,16011,22849,24365,12310,17601,2403,130907
215,72,267,200,238,478,488,189,306,36,2267,137,267,194,219,357,432,122,311,638,2669,2653,7712,6147,7714,10972,11070,5226,10405,1477,63374
216,67,280,198,225,466,448,212,286,25,2211,138,215,147,163,361,363,149,293,599,2430,2441,6477,5282,6647,9475,9310,5115,8662,1294,54705
217,50,308,180,194,337,337,134,241,23,1800,123,241,152,165,287,312,117,270,528,2195,2565,7510,5882,6864,8397,8512,4890,9737,1248,55609
297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,17,0,23
299,4,13,10,4,18,20,4,16,0,89,16,11,18,11,19,11,6,10,39,148,111,212,205,226,348,385,170,296,84,2033
