FL_DATE,OP_UNIQUE_CARRIER,TAIL_NUM,ORIGIN,DEST,DEP_TIME,ARR_TIME,ARR_DELAY
1/1/2020 12:00:00 AM,9E,N131EV,DSM,MSP,1347,1445,6
1/1/2020 12:00:00 AM,9E,N131EV,MSP,CVG,1540,1810,-40
1/1/2020 12:00:00 AM,9E,N131EV,MSP,DSM,1215,1319,39
1/1/2020 12:00:00 AM,9E,N132EV,LGA,ORF,1556,1702,-29
1/1/2020 12:00:00 AM,9E,N133EV,CVG,DTW,1722,1829,-25
1/1/2020 12:00:00 AM,9E,N133EV,DTW,CVG,1221,1323,-25
1/1/2020 12:00:00 AM,9E,N133EV,DTW,ROC,2011,2119,-34
1/1/2020 12:00:00 AM,9E,N133EV,SYR,DTW,0709,0824,34
1/1/2020 12:00:00 AM,9E,N134EV,ATL,AVL,1206,1300,-14
1/1/2020 12:00:00 AM,9E,N134EV,ATL,BHM,0847,0833,-16
1/1/2020 12:00:00 AM,9E,N134EV,BHM,ATL,0921,1109,-21
1/1/2020 12:00:00 AM,9E,N134EV,OAJ,ATL,0618,0758,-2
1/1/2020 12:00:00 AM,9E,N135EV,BOS,CHS,1050,1325,-20
1/1/2020 12:00:00 AM,9E,N135EV,CHS,LGA,1739,1928,-10
1/1/2020 12:00:00 AM,9E,N135EV,MKE,BOS,0605,0911,-8
1/1/2020 12:00:00 AM,9E,N136EV,LGA,CVG,1454,1653,-29
1/1/2020 12:00:00 AM,9E,N136EV,SAV,LGA,1005,1158,-14
1/1/2020 12:00:00 AM,9E,N137EV,ATL,CHS,1232,1336,-9
1/1/2020 12:00:00 AM,9E,N137EV,BOS,RDU,1736,1937,-37
1/1/2020 12:00:00 AM,9E,N137EV,CHS,BOS,1438,1644,-18
1/1/2020 12:00:00 AM,9E,N137EV,JAN,ATL,0925,1140,-12
1/1/2020 12:00:00 AM,9E,N138EV,CVG,LGA,1555,1735,-20
1/1/2020 12:00:00 AM,9E,N138EV,LGA,TYS,1809,2013,-20
1/1/2020 12:00:00 AM,9E,N138EV,MSP,CVG,0900,1143,-33
1/1/2020 12:00:00 AM,9E,N153PQ,ATL,GSO,1456,1603,-15
1/1/2020 12:00:00 AM,9E,N153PQ,ATL,PHF,0947,1123,-12
1/1/2020 12:00:00 AM,9E,N153PQ,ATL,TYS,2211,2258,-22
1/1/2020 12:00:00 AM,9E,N153PQ,EVV,ATL,0557,0812,-35
1/1/2020 12:00:00 AM,9E,N153PQ,GSO,ATL,1649,1818,-7
1/1/2020 12:00:00 AM,9E,N153PQ,PHF,ATL,1206,1359,-13
1/1/2020 12:00:00 AM,9E,N176PQ,ATL,GSO,1220,1331,-8
1/1/2020 12:00:00 AM,9E,N176PQ,GSO,ATL,0950,1116,-14
1/1/2020 12:00:00 AM,9E,N176PQ,GSO,ATL,1407,1543,-2
1/1/2020 12:00:00 AM,9E,N181PQ,ATL,LFT,1248,1331,-15
1/1/2020 12:00:00 AM,9E,N181PQ,FNT,ATL,0948,1143,191
1/1/2020 12:00:00 AM,9E,N181PQ,LFT,ATL,1409,1642,-26
1/1/2020 12:00:00 AM,9E,N186PQ,CLE,DTW,1741,1826,-28
1/1/2020 12:00:00 AM,9E,N186PQ,DTW,TVC,2010,2115,-23
1/1/2020 12:00:00 AM,9E,N186PQ,MSP,CLE,0857,1144,-29
1/1/2020 12:00:00 AM,9E,N186PQ,RIC,MSP,0556,0751,-24
